Gene	a.0	a.2	a.8	a.16	b.0	b.2	b.8	b.16
Gene11988	432011.3614	420338.7334	447673.4493	481985.9449	432677.1046	413817.4287	434921.8717	502761.4005
Gene11596	460623.8305	663152.4053	437466.8801	340893.4554	247067.9587	604992.5344	459235.6938	333557.2177
Gene1796	387169.933	367614.2474	460399.522	556234.1802	381620.1994	349988.9336	444148.1212	546745.2588
Gene6734	553259.3089	388153.3404	436675.4503	358016.3614	490158.2983	454264.7877	480808.5801	331333.5937
Gene7906	438236.1796	472908.0906	426482.4663	387584.4242	450021.0514	452944.6483	436134.8763	399048.7858
Gene13439	467470.4398	328146.7404	447231.6078	423435.5099	476933.4034	447148.1421	448438.5515	414708.7798
Gene3108	536656.7751	494895.902	379213.1177	307221.2467	531828.7703	436881.135	427074.8901	302582.2239
Gene4549	526042.3716	565957.5508	421307.8135	250188.8865	409486.7473	481262.3235	465857.9524	278699.7534
Gene9691	441360.7495	378375.021	413098.4467	448824.7321	430046.8372	414628.1631	430452.8113	435555.7099
Gene11908	422147.1724	538988.3429	417413.9619	392141.8299	422832.5676	368794.973	419416.2725	386228.9543
Gene1666	349760.7071	314091.209	456800.9395	499060.6141	367236.2068	360014.9466	438445.0398	571948.5185
Gene10847	439055.7353	392767.7574	409647.486	404571.4256	448885.6334	431680.3887	407624.6495	401427.2756
Gene10872	440882.1906	436064.6325	386584.6056	397505.0343	444761.2287	419830.6398	388496.7745	391851.8288
Gene7456	505603.7345	383260.5442	310482.0522	342072.7358	462573.372	550542.9524	325267.1016	416502.2626
Gene11945	447746.9324	430076.4801	402049.5836	366251.2479	465802.81	387979.7244	414840.3346	371607.7647
Gene12408	516160.8007	385584.2086	432612.8127	254047.2629	443102.4839	465867.6237	448179.6191	292767.1981
Gene689	263531.5908	571364.008	469708.5326	332172.1709	262175.5995	526373.7766	455653.2041	333765.4941
Gene11712	435423.5301	403976.8103	386680.9072	418398.9139	441463.5649	318575.0136	398522.0298	401078.9031
Gene326	379604.1169	609873.015	407380.9476	272214.1744	371675.4201	490082.1388	391817.5552	278968.1324
Gene11848	493962.8442	478864.9621	361953.3795	286833.2545	397259.7558	422254.6333	403457.0382	337537.5239
Gene11490	435210.2836	176312.0886	351766.6005	546108.6056	413128.245	340709.3796	376932.0755	530340.0201
Gene9681	419738.9457	418067.3735	401455.1269	345607.7218	400703.0116	377685.4239	404253.2848	371122.4797
Gene2544	478553.9997	351409.456	384833.4806	304815.9728	468161.7003	423560.478	420588.0395	297306.801
Gene3844	423050.7248	413206.3633	396995.4622	286376.4369	388081.4803	414019.6266	415828.258	310339.9383
Gene427	267380.5603	479848.2781	407837.5089	341856.2409	264627.5345	526006.3991	393313.2281	352665.1899
Gene4022	418344.8155	405236.9812	358546.6014	331325.7515	420081.2466	391451.8265	370365.8966	326480.9022
Gene9481	385505.7768	487816.0419	396000.8804	314358.3775	236820.1378	414747.9982	399244.9862	344946.9729
Gene7216	441471.8855	411076.8537	382532.0198	284138.5738	397823.236	387085.3173	372451.1316	291305.3231
Gene3664	492859.7044	396033.3925	369041.4739	236530.3791	355436.9785	439611.1262	393346.1928	268405.2149
Gene3112	436014.6968	366302.8206	332511.9498	261350.1019	476206.7927	443590.2371	344267.034	278233.9132
Gene681	317260.6094	436029.3747	433046.328	268547.7926	305700.416	530906.0276	375856.2727	270584.4302
Gene2848	392172.1833	491787.5893	323115.4189	255641.5244	420622.1338	503394.9409	296058.9896	232916.4989
Gene2419	458823.7871	370186.6105	319103.4673	308242.4196	459714.8404	353259.9065	342704.9571	291534.852
Gene10620	567900.9233	245096.7072	416941.1292	166652.3502	427141.4401	376529.7863	422537.4412	270479.561
Gene11622	356166.4152	373371.6787	326468.6287	328231.5362	358347.5846	372840.2163	361189.1386	382320.3011
Gene10113	389045.3774	385668.4334	335975.523	272588.8557	431162.4477	353514.6774	353460.3484	315430.9637
Gene2867	440607.0684	341803.7342	324083.2587	264369.7672	437065.2707	405430.6576	345928.2152	267924.9693
Gene13116	367541.2013	382536.4873	341868.2548	321734.0804	365731.8969	380771.6093	330416.7818	334084.6576
Gene12505	363705.2093	377748.3938	335984.34	342138.8297	385138.0616	349318.5618	334056.0349	331930.0111
Gene6847	273964.6871	361131.2866	368034.2992	429963.2158	295682.6819	318323.2547	362128.3402	409741.6701
Gene925	281365.4329	336098.3368	353522.5897	450722.3949	258586.6614	332198.5034	343571.6554	456485.3055
Gene11871	367530.2076	327204.1725	348390.0888	346402.1141	385061.5886	305021.3954	366606.3882	344794.595
Gene4790	351229.3565	283513.3817	353938.8598	360630.2147	331448.4472	354105.5146	352254.2732	372236.3487
Gene3378	378314.6154	387745.3571	320567.3575	287633.7897	387152.0165	345933.8129	329224.2599	290031.2627
