	Gene	X0h.a	X0h.b	X2h.a	X2h.b	X8h.a	X8h.b	X16h.a	X16h.b
5906	Gene5906	406242.0189	337399.3506	526115.2147	413127.909	499529.0208	488464.8422	497374.5982	501526.7013
11605	Gene11605	459894.0798	485005.4967	442328.1358	448272.6872	427371.301	424138.457	436821.6188	468515.4613
9784	Gene9784	449212.8136	482389.8026	445101.4469	430854.2599	439882.2011	430495.823	446688.5154	463968.0033
11932	Gene11932	460103.3605	465366.2179	624884.7259	373405.5003	442221.5102	448444.5726	380241.5153	384380.1879
11988	Gene11988	432011.3614	432677.1046	420338.7334	413817.4287	447673.4493	434921.8717	481985.9449	502761.4005
11596	Gene11596	460623.8305	247067.9587	663152.4053	604992.5344	437466.8801	459235.6938	340893.4554	333557.2177
1796	Gene1796	387169.933	381620.1994	367614.2474	349988.9336	460399.522	444148.1212	556234.1802	546745.2588
6734	Gene6734	553259.3089	490158.2983	388153.3404	454264.7877	436675.4503	480808.5801	358016.3614	331333.5937
7906	Gene7906	438236.1796	450021.0514	472908.0906	452944.6483	426482.4663	436134.8763	387584.4242	399048.7858
13439	Gene13439	467470.4398	476933.4034	328146.7404	447148.1421	447231.6078	448438.5515	423435.5099	414708.7798
3108	Gene3108	536656.7751	531828.7703	494895.902	436881.135	379213.1177	427074.8901	307221.2467	302582.2239
4549	Gene4549	526042.3716	409486.7473	565957.5508	481262.3235	421307.8135	465857.9524	250188.8865	278699.7534
9691	Gene9691	441360.7495	430046.8372	378375.021	414628.1631	413098.4467	430452.8113	448824.7321	435555.7099
11908	Gene11908	422147.1724	422832.5676	538988.3429	368794.973	417413.9619	419416.2725	392141.8299	386228.9543
1666	Gene1666	349760.7071	367236.2068	314091.209	360014.9466	456800.9395	438445.0398	499060.6141	571948.5185
10847	Gene10847	439055.7353	448885.6334	392767.7574	431680.3887	409647.486	407624.6495	404571.4256	401427.2756
10872	Gene10872	440882.1906	444761.2287	436064.6325	419830.6398	386584.6056	388496.7745	397505.0343	391851.8288
7456	Gene7456	505603.7345	462573.372	383260.5442	550542.9524	310482.0522	325267.1016	342072.7358	416502.2626
