	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gene10171	0.6787621814393	5.40781275518799	1.81439000557827	0.104771498346409	0.999988671207323	-4.34066475050135
Gene6844	-0.206765525531805	4.61672467324393	-1.86641170595946	0.0965774719769216	0.999988671207323	-4.34073567862819
Gene8104	-0.325958305861509	3.36765298805748	-2.28788076637739	0.0494118280206749	0.999988671207323	-4.34188249744935
Gene8539	-0.332418229118438	4.30155790040216	-1.89665410175348	0.0920957456835666	0.999988671207323	-4.3442337450464
Gene4138	0.652913938749665	4.91878933060464	1.83199285530081	0.101928357569475	0.999988671207323	-4.34526120672734
Gene9374	0.384658514959255	4.09218301271801	1.92351040892725	0.0882817041020562	0.999988671207323	-4.34735227884448
Gene13261	-0.376344340360868	4.32781688939815	-1.88304034214608	0.0940883045985922	0.999988671207323	-4.34759186570116
Gene8191	-0.265976229289549	3.78775718478965	-1.99830466931725	0.0784369520439167	0.999988671207323	-4.34924282046655
Gene13434	0.247084780038546	5.91027041429376	1.77008671653113	0.112259051971708	0.999988671207323	-4.34964310291207
Gene10835	-0.415382840489314	6.85323153724686	-1.76707199617406	0.112786276185656	0.999988671207323	-4.35138222523809
Gene8010	-0.206068834953408	3.98242224799108	-1.92812230607712	0.0876420286660385	0.999988671207323	-4.35167933159786
Gene5532	-0.376837133106825	3.88474893417454	-1.96280842388596	0.0829705946040571	0.999988671207323	-4.35177990554328
Gene13407	0.541519408033382	5.64848080679446	1.77394768266701	0.11158718364429	0.999988671207323	-4.35217211810579
Gene5437	0.523487622618028	3.07929138924859	2.53186436448899	0.0334028727130972	0.999988671207323	-4.35267735535555
Gene4792	-0.265739871238597	4.4468841720193	-1.84936055965276	0.0991943508172441	0.999988671207323	-4.3531333250679
Gene9763	0.240441644443453	7.49609554135629	1.77840073053609	0.110816935135917	0.999988671207323	-4.35333013239952
Gene10746	-0.309904885445978	3.25933850380565	-2.30479310448962	0.0480898068083414	0.999988671207323	-4.35654692274794
Gene10815	0.249885808663037	4.5913726776089	1.82174248519776	0.103575026098568	0.999988671207323	-4.35706791260532
Gene5493	0.219449875180057	4.33785835910834	1.85028468327671	0.0990508274654679	0.999988671207323	-4.35731250317855
Gene10202	0.250350129995038	4.66028397822608	1.81140806831673	0.105260432311454	0.999988671207323	-4.35835486000899
Gene6337	-0.338562040582433	3.44823000456477	-2.14703981492535	0.0619051904892918	0.999988671207323	-4.35881726982465
Gene12903	0.331375784489639	4.29256359261065	1.85277427802642	0.0986651472962343	0.999988671207323	-4.35883922803176
Gene5182	-0.173105183849524	5.4519846892977	-1.76316075888905	0.113473719376728	0.999988671207323	-4.35932093055369
Gene7377	0.430197908243282	4.11098061541735	1.87847547399111	0.0947655204500929	0.999988671207323	-4.36040532551306
Gene7179	0.410996481448763	4.07826573471592	1.88217711276126	0.0942160160330935	0.999988671207323	-4.36105234500869
Gene13711	0.305934586445379	5.88411331259017	1.74166974660552	0.117320967229447	0.999988671207323	-4.36112568349338
Gene4397	0.300878926420859	3.70580948586463	1.98795155371909	0.0797341461387818	0.999988671207323	-4.36187838092036
Gene7581	0.48425026348871	5.77201948033259	1.74415884149056	0.116869261817821	0.999988671207323	-4.36189626030153
Gene8283	0.407156213855867	3.15009899603469	2.38354432367076	0.0423813943367792	0.999988671207323	-4.36215656270399
Gene11374	-0.329618234070812	3.7011681498531	-1.98888861983106	0.0796158946335822	0.999988671207323	-4.36236476596333
Gene4079	-0.365575363601049	3.91228908865065	-1.91583230769732	0.0893565257208633	0.999988671207323	-4.36259681456593
Gene13492	0.197074482733493	5.92471977086592	1.72607138151608	0.12018867318387	0.999988671207323	-4.36653203541977
Gene12315	-0.189575039780929	4.18612425108872	-1.84240885872795	0.100280295066817	0.999988671207323	-4.36662848470036
Gene5386	0.281213331264794	5.03494646797467	1.75628089245088	0.114692392244051	0.999988671207323	-4.36853338508354
Gene10265	0.227755008368844	5.32984757003791	1.74114368280226	0.117416640877393	0.999988671207323	-4.36929283561124
Gene5170	-0.521269488309649	3.2531017157645	-2.25458262790121	0.0521205415626003	0.999988671207323	-4.37001849585037
Gene7009	-0.309588170382938	3.90892041976711	-1.88609253873363	0.0936380561626618	0.999988671207323	-4.37051060114182
Gene10507	0.391907336765795	4.15879465292824	1.83631335392315	0.101241684340736	0.999988671207323	-4.37061556393701
Gene11221	-0.337889878407721	4.66219659562286	-1.77586640040017	0.111254691448467	0.999988671207323	-4.37080770422435
Gene11359	0.609888626231295	7.32359536200646	1.72629325981085	0.120147430960679	0.999988671207323	-4.37122697886474
Gene10871	-0.504345132965033	6.4164646093127	-1.70856125968173	0.12348495089887	0.999988671207323	-4.37194893232776
Gene13224	-0.26224241699045	5.04242709869538	-1.74314844906722	0.117052426823536	0.999988671207323	-4.373097999737
Gene11403	-0.247840827216091	4.30717856933513	-1.80017309080304	0.107121829814806	0.999988671207323	-4.37496587076731
Gene3545	0.374227705191879	4.27015228789877	1.80560034078115	0.106218836926241	0.999988671207323	-4.37515176529303
Gene10508	0.598248607692826	5.32211966066855	1.72544364430282	0.120305426411527	0.999988671207323	-4.37535947669984
Gene4830	-0.294964609980926	4.18069673466193	-1.8144037699258	0.104769246413668	0.999988671207323	-4.3759599288086
Gene3784	0.276585280955834	3.81206955621029	1.89127013360655	0.0928789377829456	0.999988671207323	-4.37674330934278
