GENE	ANOVA P
Gene440	0.002317658
Gene441	0.00284639
Gene442	0.008972109
Gene443	0.00208571
Gene444	0.005586694
Gene445	0.000384175
Gene446	0.007185091
Gene447	0.00786559
Gene448	0.003174467
Gene449	0.003956853
Gene450	0.021691112
Gene451	0.022573519
Gene452	0.007512643
Gene453	0.011351122
Gene454	0.012920458
Gene455	0.013343357
Gene456	0.000544911
Gene457	0.016616015
Gene458	0.007190603
Gene459	0.007334869
Gene460	0.00327467
Gene461	0.003819373
Gene462	0.023462944
Gene463	0.009282799
Gene464	0.016042682
Gene465	0.006433982
Gene466	0.004495829
Gene467	0.003670375
Gene468	0.000279585
Gene469	0.002525264
Gene470	0.002021225
Gene471	0.001671278
Gene472	0.000782104
Gene473	0.000726614
Gene474	0.002482698
Gene475	0.001546416
Gene476	0.002113373
Gene477	0.007781481
Gene478	0.021011504
Gene479	0.01826754
Gene480	0.000761584
Gene481	0.002861207
Gene482	0.001543882
Gene483	0.000246394
Gene484	0.000566323
Gene485	0.001308065
Gene486	0.004046403
Gene487	0.001065716
Gene488	8.423341584
Gene489	0.000872337
Gene490	0.016149045
Gene491	0.012387555
Gene492	0.003257839
Gene493	0.002702117
Gene494	0.008142397
Gene495	0.001713803
Gene496	0.013377918
Gene497	0.008510048
Gene498	0.001521295
Gene499	0.017555798
Gene500	0.00829444
Gene501	0.000991022
Gene502	0.003457943
Gene503	6.954916712
Gene504	0.009827664
Gene505	0.019965795
Gene506	0.000985081
Gene507	0.021661417
Gene508	0.021987496
Gene509	0.013717293
Gene510	0.019930231
Gene511	0.011465148
Gene512	0.015359475
Gene513	9.77738938
Gene514	0.002049917
Gene515	0.00495133
Gene516	0.007365642
Gene517	0.001701305
Gene518	8.391829553
Gene519	0.008535781
Gene520	0.000806277
Gene521	0.003266969
Gene522	2.297094103
Gene523	0.000376001
Gene524	0.000202501
Gene525	0.0001109
Gene526	0.002655238
Gene527	0.011424387
Gene528	0.008471413
Gene529	0.004247703
Gene530	0.002137267
Gene531	0.017355784
Gene532	0.000413827
Gene533	0.011942443
Gene534	0.000135376
Gene535	0.018783589
Gene536	0.004412876
Gene537	0.000592313
Gene538	0.011369507
Gene539	0.001913403
Gene540	0.015538187
Gene541	0.005993264
Gene542	0.007381207
Gene543	0.001029572
Gene544	0.002049417
Gene545	0.009338859
Gene546	0.008801132
Gene547	0.022456261
Gene548	0.014046373
Gene549	0.003747577
Gene550	0.002901946
Gene551	0.017360347
Gene552	0.014429442
Gene553	0.008267564
Gene554	8.598243438
Gene555	0.013934973
Gene556	0.002822768
Gene557	0.005511547
Gene558	0.002807294
Gene559	4.487691954
Gene560	0.004708781
Gene561	0.013227555
Gene562	0.009135511
Gene563	0.004879073
Gene564	0.010388203
Gene565	0.00547335
Gene566	0.006542653
Gene567	0.017086847
Gene568	0.000594605
Gene569	2.282018568
Gene570	0.004285876
Gene571	0.019917486
Gene572	0.016843821
Gene573	0.003103723
Gene574	7.575021909
Gene575	0.006008925
Gene576	0.001994709
Gene577	0.00271718
Gene578	0.005643397
Gene579	8.536768867
Gene580	0.009709146
Gene581	0.000734043
Gene582	0.012904219
Gene583	0.002915173
Gene584	0.00049635
Gene585	0.002938125
Gene586	0.002090094
Gene587	0.001021927
Gene588	0.003685338
Gene589	0.013500245
Gene590	0.003572361
Gene591	0.005417941
Gene592	4.873966241
Gene593	0.013501965
Gene594	0.021536904
Gene595	0.005551425
Gene596	0.00172571
Gene597	0.002318453
Gene598	0.003254635
Gene599	0.002772125
Gene600	0.000406941
Gene601	0.004828032
Gene602	0.004808406
Gene603	0.014161407
Gene604	0.017358272
Gene605	0.008674621
Gene606	0.002071903
Gene607	0.010238974
